schedule,t,reward,gap,beta_true,beta_hat,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
exp3,1,0.3976994961812148,0.03152599966249753,0.0,-0.13487494000387115,14.6266355937898,8,25,33,1.8965780252826958,1.0,0.3333333333333333,0.021572624202261567
exp3,2,0.3976416292833867,0.03141009348288604,0.0,0.009483987894293975,15.998257592050006,250,25,308,4.253596380362047,2.0,0.33343369739088546,0.23402877104289638
exp3,3,0.39769047191206364,0.031208558775206174,0.0,0.044121215520005294,13.44560931185155,250,25,583,0.3600721800822809,2.0,0.3312598145144306,0.20288057744065827
exp3,4,0.3979392772251681,0.0305849478773087,0.0,-0.04061427396441069,13.679506654408307,250,25,858,0.33226779969775394,2.0,0.32936903037017523,0.20265814239758204
exp3,5,0.3979321026947913,0.030894523041365807,0.0,-0.03612592350536296,14.476216165873907,250,25,1133,1.244196910948535,2.0,0.3274752836225285,0.2099535752875883
exp3,6,0.3981989061950583,0.03028013836802773,0.0,-0.04997765500646959,13.396754487134528,250,25,1408,0.5395111443859314,2.0,0.3255082639359914,0.20431608915508742
exp3,7,0.39842100392663127,0.02987166925213125,0.0,-0.05398193583704636,14.720942169358258,250,25,1683,1.0420929553500997,2.0,0.3235887200214923,0.2083367436428008
exp3,8,0.3993261061689728,0.028308360687915812,0.0,-0.27720069825528776,13.769498552053903,8,25,1716,1.091001452924811,1.0,0.33903354248373857,0.015128011623398491
exp3,9,0.4003953728561813,0.026695932982106707,0.0,-0.27720069825528776,14.243587994449065,0,25,1741,1.721889676240115,0.0,0.33941197916488264,0.01377511740992092
exp3,10,0.4003086233331666,0.027022076725715882,0.0,-0.016952140127129353,13.66006105635365,250,25,2016,0.2537810167863607,2.0,0.3217558983316178,0.20203024813429088
exp3,11,0.4005470057426499,0.026501674608186865,0.0,-0.017827515857380235,13.882205907442453,250,25,2291,0.35286090350385596,2.0,0.31984790761970994,0.20282288722803082
exp3,12,0.40064830932280593,0.026439087868396993,0.0,-0.007735499249636403,13.56014582127008,8,25,2324,0.534844355560387,1.0,0.34087246914914565,0.010678754844483097
exp3,13,0.400776829303207,0.026116862406445396,0.0,-0.020911030160143437,13.587426050935669,250,25,2599,0.36850837651825985,2.0,0.31797474397201453,0.2029480670121461
exp3,14,0.40089107922108014,0.025773889173456077,0.0,-0.020911030160143437,14.291801253974995,0,25,2624,0.9037826432699814,0.0,0.342215092391001,0.0072302611461598516
exp3,15,0.40112074828159905,0.02535705614124617,0.0,-0.020911030160143437,15.54112186132626,0,25,2649,2.20885076017414,0.0,0.3421486677845964,0.01767080608139312
exp3,16,0.4013310029747275,0.02502656752887833,0.0,-0.020911030160143437,14.744900087468263,0,25,2674,1.0053025694925375,0.0,0.3419863212540996,0.008042420555940299
exp3,17,0.40161995562409786,0.02432723275932558,0.0,-0.020911030160143437,14.441667498514613,0,25,2699,1.1849553068699508,0.0,0.3419124110417361,0.009479642454959606
exp3,18,0.4018659571723328,0.02385380660435188,0.0,-0.020911030160143437,13.464624824376752,0,25,2724,0.32548779019377383,0.0,0.34182528414127905,0.0026039023215501905
exp3,19,0.4020149202681058,0.023529019870972112,0.0,-0.020911030160143437,13.655292426743237,0,25,2749,0.3652364535703382,0.0,0.34180134765903675,0.0029218916285627056
exp3,20,0.40213559203744076,0.023272248496659043,0.0,0.016063393087287325,14.510713088985458,250,25,3024,1.0699176123541498,2.0,0.31625943171778914,0.20855934089883318
exp3,21,0.40221693118690954,0.02327929724807809,0.0,0.016063393087287325,14.520787296316698,0,25,3049,1.2102550115110888,0.0,0.34276640526300295,0.009682040092088711
exp3,22,0.40216181989060984,0.023495386790880257,0.0,0.016063393087287325,15.450156745101559,0,25,3074,2.5401502882674016,0.0,0.3426775291742838,0.020321202306139215
