schedule,t,reward,gap,beta_true,beta_hat,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
monitor_only,1,0.39708872284499636,0.032566466639451785,0.0,0.0,14.305400734286097,0,25,25,1.2891854082671919,,,
monitor_only,2,0.39723644282542586,0.03213775409677888,0.0,0.0,14.385625761017769,0,25,50,0.9206322152328065,,,
monitor_only,3,0.3972318290472481,0.032171378832574704,0.0,0.0,14.387814203615195,0,25,75,1.237120964034791,,,
monitor_only,4,0.3973168256089233,0.03236089603209952,0.0,0.0,13.832937647188942,0,25,100,0.3265720493159001,,,
monitor_only,5,0.3974751965291966,0.031764184093799885,0.0,0.0,14.636913494598488,0,25,125,1.1292707099509625,,,
monitor_only,6,0.397495794881461,0.031831906931120646,0.0,0.0,14.29534684272523,0,25,150,1.1546175566192944,,,
monitor_only,7,0.39760003062059845,0.03170627125668307,0.0,0.0,14.472498497229157,0,25,175,1.030244237851702,,,
monitor_only,8,0.39788276773295267,0.031242386921408127,0.0,0.0,14.622043744343943,0,25,200,0.909249976031196,,,
monitor_only,9,0.397704937665514,0.0316161302204484,0.0,0.0,13.469397169519423,0,25,225,0.3294312214443131,,,
monitor_only,10,0.3979767115913879,0.03111317872873809,0.0,0.0,14.542631445121671,0,25,250,0.7900970080429868,,,
monitor_only,11,0.3980486448136828,0.031057257078074663,0.0,0.0,13.462914374709163,0,25,275,0.36650263765890045,,,
monitor_only,12,0.3980849070389106,0.031097229972012697,0.0,0.0,14.256935569679818,0,25,300,0.7833708500054959,,,
monitor_only,13,0.3981761499455339,0.031059337119794972,0.0,0.0,15.134865087876763,0,25,325,2.4848670826224875,,,
monitor_only,14,0.39812734939345573,0.0311311659918585,0.0,0.0,14.205429945192682,0,25,350,1.2023841071336037,,,
monitor_only,15,0.3983047264297445,0.03089507109750833,0.0,0.0,14.159243598685597,0,25,375,1.2146906448080792,,,
monitor_only,16,0.3984722365173868,0.03040517872056475,0.0,0.0,13.447953019786883,0,25,400,0.34124108928801805,,,
monitor_only,17,0.39874490671337587,0.029903454441270072,0.0,0.0,13.695290432447658,0,25,425,0.527764304805422,,,
monitor_only,18,0.39876210771414844,0.03015467914540082,0.0,0.0,13.586133411790877,0,25,450,0.32315975970801164,,,
monitor_only,19,0.39886627371817485,0.02974547694241364,0.0,0.0,13.479512838711022,0,25,475,0.3816509496324957,,,
monitor_only,20,0.39916047005621585,0.029043711341141365,0.0,0.0,14.60525884289951,0,25,500,1.0437508680487753,,,
