task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,3,4,2,False,1.0,nan,True,1.0,1.0,,,,,,False,0
alfworld-1,True,1.0,1,3,8,3,False,1.0,0.35355339059327373,False,0.0,0.9395769176926606,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,3,12,5,False,1.0,0.1924500897298753,False,0.1,0.8615563104383206,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,3,16,6,False,1.0,0.08518354199999197,False,0.06666666666666667,0.7846970802072145,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,20,8,False,1.0,0.07560153527108575,False,0.07142857142857142,0.7318417235621096,,,,,,False,0
alfworld-5,True,0.6666666666666666,1,3,24,9,False,1.0,0.04910463758239913,False,0.05555555555555555,0.6638577611832415,,,,,,False,0
alfworld-6,True,1.0,1,3,28,10,False,1.0,0.03968253968253968,False,0.044444444444444446,0.6072956129673982,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,3,32,11,False,1.0,0.043403811021918925,False,0.05454545454545454,0.5593986538526857,,,,,,False,0
alfworld-8,True,0.6666666666666666,1,3,36,11,False,1.0,0.04760705440701531,False,0.03636363636363636,0.4909549260345311,,,,,,False,0
alfworld-9,True,1.0,1,3,40,12,False,1.0,0.0191435774335088,False,0.030303030303030304,0.4669023422031316,,,,,,False,0
alfworld-10,True,1.0,1,3,44,14,False,1.0,0.020918488014116877,False,0.04395604395604396,0.47051483392500876,,,,,,False,0
alfworld-11,True,1.0,1,3,48,15,False,1.0,0.023984983248550907,False,0.0380952380952381,0.43829458315433295,,,,,,False,0
alfworld-12,True,0.6666666666666666,1,3,52,16,False,1.0,0.021516574145596757,False,0.03333333333333333,0.41024675368507657,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,3,56,17,False,1.0,0.01881720430107527,False,0.029411764705882353,0.3856103167294176,,,,,,False,0
alfworld-14,True,1.0,1,3,60,18,False,1.0,0.026948402781814776,False,0.026143790849673203,0.36379759289448754,,,,,,False,0
alfworld-15,True,0.6666666666666666,1,3,64,19,False,1.0,0.008729713347982069,False,0.017543859649122806,0.34434790718391123,,,,,,False,0
alfworld-16,True,0.6666666666666666,1,3,68,20,False,1.0,0.014086931027139754,False,0.015789473684210527,0.326895272647136,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,3,72,21,False,1.0,0.011180339887498949,False,0.014285714285714285,0.311145404855355,,,,,,False,0
alfworld-18,True,1.0,1,3,76,22,False,1.0,0.013855104141967771,False,0.017316017316017316,0.2968590814197984,,,,,,False,0
alfworld-19,True,0.6666666666666666,1,3,80,23,False,1.0,0.011306098594615704,False,0.019762845849802372,0.2838399022294411,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,3,84,23,False,1.0,0.024175584238501423,False,0.019762845849802372,0.24815100011650137,,,,,,False,0
alfworld-21,True,1.0,1,3,88,24,False,1.0,0.021276981026232118,False,0.025362318840579712,0.24392303819075337,,,,,,False,0
alfworld-22,True,1.0,1,3,92,25,False,1.0,0.009159416773227695,False,0.023333333333333334,0.23896977091782617,,,,,,False,0
alfworld-23,True,1.0,1,3,96,26,False,1.0,0.016969696969696968,False,0.021538461538461538,0.23356025998394747,,,,,,False,0
alfworld-24,True,1.0,1,3,100,27,False,1.0,0.009016833799456737,False,0.019943019943019943,0.22789134826338622,,,,,,False,0
alfworld-25,True,1.0,1,3,104,28,False,1.0,0.006309839007536895,False,0.018518518518518517,0.2221062120314381,,,,,,False,0
alfworld-26,True,1.0,1,3,108,29,False,1.0,0.004999530066259619,False,0.017241379310344827,0.21630808488401174,,,,,,False,0
alfworld-27,True,1.0,1,3,112,30,False,1.0,0.011427405426280115,False,0.016091954022988506,0.21057045342354547,,,,,,False,0
alfworld-28,True,1.0,1,3,116,31,False,1.0,0.005369828995148688,False,0.017204301075268817,0.2049446588433859,,,,,,False,0
alfworld-29,True,1.0,1,3,120,31,False,1.0,0.013491478086518302,False,0.015053763440860216,0.17948928499815658,,,,,,False,0
alfworld-30,False,0.5,1,3,124,32,False,1.0,0.007381039809319517,False,0.014112903225806451,0.17927576777115828,,,,,,False,0
alfworld-31,True,1.0,1,3,128,32,False,1.0,0.010079372977439821,False,0.016129032258064516,0.15810791228853993,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,3,132,33,False,1.0,0.0030218238512245616,False,0.01893939393939394,0.1613211869691121,,,,,,False,0
alfworld-33,True,1.0,1,3,136,33,False,1.0,0.005802588531856595,False,0.017045454545454544,0.14306463185962587,,,,,,False,0
alfworld-34,True,1.0,1,3,140,34,False,1.0,0.005592856416247321,False,0.016042780748663103,0.1484295853442193,,,,,,False,0
alfworld-35,True,1.0,1,3,144,35,False,1.0,0.010760695538353494,False,0.015126050420168067,0.15180230563747077,,,,,,False,0
alfworld-36,True,0.6666666666666666,1,3,148,36,False,1.0,0.006402683747943306,False,0.015873015873015872,0.1536458835387759,,,,,,False,0
alfworld-37,True,0.6666666666666666,1,3,152,36,False,1.0,0.007936507936507938,False,0.014285714285714285,0.1358651236549238,,,,,,False,0
alfworld-38,False,0.3333333333333333,1,3,156,37,False,1.0,0.004728132387706856,False,0.015015015015015015,0.14015674668040698,,,,,,False,0
alfworld-39,False,0.3333333333333333,1,3,160,37,False,1.0,0.00960406455048479,False,0.015015015015015015,0.12454897643006997,,,,,,False,0
alfworld-40,True,0.6666666666666666,1,3,164,37,False,1.0,0.012603922360077393,False,0.015015015015015015,0.11177041493914344,,,,,,False,0
alfworld-41,True,1.0,1,3,168,38,False,1.0,0.005852391133847671,False,0.015647226173541962,0.12018775417725433,,,,,,False,0
alfworld-42,True,1.0,1,3,172,39,False,1.0,0.004081042041025473,False,0.014844804318488529,0.12616725244813387,,,,,,False,0
alfworld-43,True,0.6666666666666666,1,3,176,40,False,1.0,0.004896885437464439,False,0.014102564102564103,0.13024631554342492,,,,,,False,0
alfworld-44,True,1.0,1,3,180,41,False,1.0,0.010920778706287194,False,0.01707317073170732,0.13284721481322068,,,,,,False,0
alfworld-45,True,1.0,1,3,184,42,False,1.0,0.0027398905594492296,False,0.017421602787456445,0.13430188943533292,,,,,,False,0
alfworld-46,True,1.0,1,3,188,42,False,1.0,0.0057642056020321695,False,0.016260162601626018,0.11858895597823446,,,,,,False,0
