schedule,t,reward,gap,beta_true,beta_hat,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
monitor_only,1,0.39709985433784245,0.032627272297230614,0.0,0.0,14.305474249515845,0,25,25,1.078778355744195,,,
monitor_only,2,0.39725759552983947,0.03264112090095894,0.0,0.0,14.230188188303432,0,25,50,1.0766508618068593,,,
monitor_only,3,0.3974230124371067,0.031921071552849456,0.0,0.0,14.219428473027316,0,25,75,0.942805235367649,,,
monitor_only,4,0.39755710734715594,0.03168583964533844,0.0,0.0,13.735624216787462,0,25,100,0.3910289730530127,,,
monitor_only,5,0.3975174967156686,0.03168933228961396,0.0,0.0,14.315940652535291,0,25,125,1.2874261859842118,,,
monitor_only,6,0.39773047716090854,0.030925026864008942,0.0,0.0,13.820245379051574,0,25,150,0.5118274904032899,,,
monitor_only,7,0.3978638301277326,0.030688513364180325,0.0,0.0,14.4677069821121,0,25,175,1.064364971947445,,,
monitor_only,8,0.3981182608529898,0.030064277160739283,0.0,0.0,14.717950334961298,0,25,200,0.9406723256068295,,,
monitor_only,9,0.39809851591073975,0.030304353787243388,0.0,0.0,14.623964305222772,0,25,225,1.2617763686882597,,,
monitor_only,10,0.39802252694137297,0.030544001301399615,0.0,0.0,13.455970764771003,0,25,250,0.39791814658977853,,,
monitor_only,11,0.39816873361749,0.03075591937596106,0.0,0.0,13.580015420380164,0,25,275,0.47137578894836846,,,
monitor_only,12,0.39811213554243347,0.03091191796595505,0.0,0.0,14.463989124798632,0,25,300,0.9790640749751821,,,
monitor_only,13,0.39810985792195164,0.030880082118283192,0.0,0.0,13.599711475726519,0,25,325,0.2671850037894988,,,
monitor_only,14,0.398136349502265,0.030729591013500646,0.0,0.0,14.040735849290327,0,25,350,1.058463392620671,,,
monitor_only,15,0.39808422421674117,0.031235465966314158,0.0,0.0,13.459914071114808,0,25,375,0.49007493718236583,,,
monitor_only,16,0.39811341464123284,0.031293705831079266,0.0,0.0,14.351638790190368,0,25,400,1.224641968865703,,,
monitor_only,17,0.39844973628545766,0.030618168409132007,0.0,0.0,13.423286479518088,0,25,425,0.6073899092863508,,,
monitor_only,18,0.3984482669593363,0.0308198816041782,0.0,0.0,14.627131709063072,0,25,450,1.2559825763444252,,,
monitor_only,19,0.39845531676274126,0.03094643314278872,0.0,0.0,15.11631411647463,0,25,475,2.0781205742698785,,,
monitor_only,20,0.3985248478945438,0.030957311212509775,0.0,0.0,14.353143461161915,0,25,500,1.0718931494018253,,,
monitor_only,21,0.39862539336431146,0.030358782863990685,0.0,0.0,14.727109187174873,0,25,525,1.1959337038965545,,,
monitor_only,22,0.39879111385422394,0.029841685801157036,0.0,0.0,14.575247758857826,0,25,550,0.874166498212173,,,
monitor_only,23,0.3988320706754214,0.029847323719881413,0.0,0.0,15.376778028077698,0,25,575,2.467132007852783,,,
monitor_only,24,0.3990945679904397,0.02908027906445504,0.0,0.0,13.469353532324769,0,25,600,0.5487235190160866,,,
monitor_only,25,0.399369025291101,0.028526851154434485,0.0,0.0,13.54187506888665,0,25,625,0.3604624058919917,,,
monitor_only,26,0.39961043971340987,0.028293575906968238,0.0,0.0,13.46790378881575,0,25,650,0.5040237103046358,,,
monitor_only,27,0.39977892923934416,0.02797102590350875,0.0,0.0,16.445818084373776,0,25,675,6.561129379475205,,,
monitor_only,28,0.39975798700940973,0.027887295409315727,0.0,0.0,12.995840146099278,0,25,700,0.1617763561535211,,,
monitor_only,29,0.399781584636599,0.028094910618817637,0.0,0.0,13.510935226112593,0,25,725,0.3142777373871199,,,
monitor_only,30,0.39996830744271006,0.027600736708117524,0.0,0.0,13.548378795871711,0,25,750,0.23597743934708149,,,
monitor_only,31,0.4001605210313,0.02709687451230991,0.0,0.0,13.66278179720345,0,25,775,0.29468482185803674,,,
monitor_only,32,0.40014159126433596,0.02707958514142117,0.0,0.0,14.460459449225382,0,25,800,1.0861329809934739,,,
monitor_only,33,0.4003126771891778,0.026702644888835336,0.0,0.0,13.540514439289769,0,25,825,0.350541483094982,,,
monitor_only,34,0.4002687758725612,0.026964846993247915,0.0,0.0,14.233941487234977,0,25,850,1.1068746908459426,,,
monitor_only,35,0.4000775700493987,0.027298668073342358,0.0,0.0,13.527869040021574,0,25,875,0.36871189853894004,,,
monitor_only,36,0.40008125322722315,0.027255230683185472,0.0,0.0,15.57642051696148,0,25,900,2.1383540826354275,,,
monitor_only,37,0.40002358085093137,0.027585813219401678,0.0,0.0,14.695345131446436,0,25,925,1.4395819361143205,,,
